Rack Id,Cavity Id,Position,Sample Id,CONCENTRATION,CONCENTRATIONUNIT,VOLUME,USERDEFINED1,USERDEFINED2,USERDEFINED3,USERDEFINED4,USERDEFINED5,PlateErrors,SampleErrors,SAMPLEINSTANCEID,SAMPLEID
52_2,52_2_A001,A01,52_2_A001,1,calculated                                        ,-521.62,,,,,,i4,i4,41,17
52_2,52_2_A002,A02,52_2_A002,1,calculated                                        ,-521.62,,,,,,i4,i4,42,18
52_2,52_2_A003,A03,52_2_A003,1,calculated                                        ,-521.62,,,,,,i4,i4,43,19
52_2,52_2_A004,A04,52_2_A004,1,calculated                                        ,-521.62,,,,,,i4,i4,44,20
52_2,52_2_A005,A05,52_2_A005,1,calculated                                        ,-521.62,,,,,,i4,i4,45,21
52_2,52_2_A006,A06,52_2_A006,1,calculated                                        ,-521.62,,,,,,i4,i4,46,22
52_2,52_2_A007,A07,52_2_A007,1,calculated                                        ,-521.62,,,,,,i4,i4,47,23
52_2,52_2_A008,A08,52_2_A008,1,calculated                                        ,-521.62,,,,,,i4,i4,48,24
Sample Tracking Report Name : Plate Report Extended
Last action tracked : 10/25/2011 5:25:42 PM
Created by Admin at 10/25/2011 5:25:45 PM
:000012033701
